customer_id,max_step_reached,terminal_state,abandoned_at_step,abandoned_at_step_name,completed_onboarding,selfie_attempts,n_retry_rows,wall_clock_seconds,journey_start_ts,journey_end_ts,account_created_ts
1000000,4,ABANDONED_AT_STEP_4,4.0,selfie_liveness,False,1,0,571.718533,2026-04-24 09:32:32,2026-04-24 09:42:04,
1000001,3,ABANDONED_AT_STEP_3,3.0,id_document_upload,False,0,0,168.35513,2026-05-01 00:08:51,2026-05-01 00:11:40,
1000002,7,ACCOUNT_CREATED,,,True,2,1,448.689523,2026-03-01 16:45:09,2026-03-01 16:52:38,2026-03-01 16:52:38
1000003,4,ABANDONED_AT_STEP_4,4.0,selfie_liveness,False,1,0,196.192333,2026-04-24 23:35:28,2026-04-24 23:38:44,
1000004,3,ABANDONED_AT_STEP_3,3.0,id_document_upload,False,0,0,725.546982,2026-06-26 16:23:00,2026-06-26 16:35:06,
1000005,7,ACCOUNT_CREATED,,,True,1,0,406.573705,2026-02-24 14:10:19,2026-02-24 14:17:06,2026-02-24 14:17:06
1000006,4,ABANDONED_AT_STEP_4,4.0,selfie_liveness,False,1,0,133.745529,2026-06-23 20:24:23,2026-06-23 20:26:37,
1000007,5,ABANDONED_AT_STEP_5,5.0,address,False,2,1,334.77166,2026-07-09 01:57:51,2026-07-09 02:03:25,
1000008,3,ABANDONED_AT_STEP_3,3.0,id_document_upload,False,0,0,532.288294,2026-02-08 15:52:47,2026-02-08 16:01:39,
1000009,3,ABANDONED_AT_STEP_3,3.0,id_document_upload,False,0,0,374.607548,2026-07-17 21:32:27,2026-07-17 21:38:42,
1000010,7,ACCOUNT_CREATED,,,True,1,0,386.629264,2026-05-23 10:32:45,2026-05-23 10:39:11,2026-05-23 10:39:11
1000011,3,ABANDONED_AT_STEP_3,3.0,id_document_upload,False,0,0,159.658664,2026-02-09 07:25:07,2026-02-09 07:27:46,
1000012,1,ABANDONED_AT_STEP_1,1.0,phone_verification,False,0,0,0.0,2026-07-26 20:27:58,2026-07-26 20:27:58,
